Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Coba aja,Chrome 117.0.0.0,,,2023-09-22 14:26:26,2023-09-22 14:27:04,37.798s,PASSED
,,,,,,,
Test Cases/Coba aja,Chrome 117.0.0.0,,,2023-09-22 14:26:26,2023-09-22 14:26:51,25.040s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-22 14:26:26,2023-09-22 14:26:42,15.152s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 117.0.0.0,,,2023-09-22 14:26:42,2023-09-22 14:26:44,2.532s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Log in""))",Chrome 117.0.0.0,,,2023-09-22 14:26:44,2023-09-22 14:26:45,0.913s,PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Email_Email""), ""tigorsumarja1@gmail.com"")",Chrome 117.0.0.0,,,2023-09-22 14:26:45,2023-09-22 14:26:46,0.685s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Password_Password""), ""QAy133prCaeJK/Mrhjsxkw=="")",Chrome 117.0.0.0,,,2023-09-22 14:26:46,2023-09-22 14:26:46,0.402s,PASSED
"setText(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Email_Email""), ""tigorsumarja@gmail.com"")",Chrome 117.0.0.0,,,2023-09-22 14:26:46,2023-09-22 14:26:47,1.106s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Login/input_Forgot password_button-1 login-button""))",Chrome 117.0.0.0,,,2023-09-22 14:26:47,2023-09-22 14:26:49,1.446s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_tigorsumarjagmail.com""))",Chrome 117.0.0.0,,,2023-09-22 14:26:49,2023-09-22 14:26:50,0.833s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop. Account/a_Log out""))",Chrome 117.0.0.0,,,2023-09-22 14:26:50,2023-09-22 14:26:51,1.089s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-22 14:26:51,2023-09-22 14:26:51,0.636s,PASSED
,,,,,,,
Test Cases/Login,Chrome 117.0.0.0,,,2023-09-22 14:26:51,2023-09-22 14:27:04,12.319s,PASSED
"openBrowser("""")",Chrome 117.0.0.0,,,2023-09-22 14:26:51,2023-09-22 14:26:53,1.257s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 117.0.0.0,,,2023-09-22 14:26:53,2023-09-22 14:26:57,3.844s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 117.0.0.0,,,2023-09-22 14:26:57,2023-09-22 14:26:58,1.229s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Password_password""), ""admin123"")",Chrome 117.0.0.0,,,2023-09-22 14:26:58,2023-09-22 14:26:58,0.626s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/button_Login""))",Chrome 117.0.0.0,,,2023-09-22 14:26:58,2023-09-22 14:26:59,0.329s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/i_Dashboard_oxd-icon bi-caret-down-fill oxd_d2fd49""))",Chrome 117.0.0.0,,,2023-09-22 14:26:59,2023-09-22 14:27:01,2.137s,PASSED
"click(findTestObject(""Object Repository/Page_OrangeHRM/a_Logout""))",Chrome 117.0.0.0,,,2023-09-22 14:27:01,2023-09-22 14:27:03,2.118s,PASSED
closeBrowser(),Chrome 117.0.0.0,,,2023-09-22 14:27:03,2023-09-22 14:27:04,0.596s,PASSED
,,,,,,,
Test Cases/New Test Case,Chrome 117.0.0.0,,,2023-09-22 14:27:04,2023-09-22 14:27:04,0.155s,PASSED
return null,Chrome 117.0.0.0,,,2023-09-22 14:27:04,2023-09-22 14:27:04,0.002s,PASSED
